borrowerId,borrowerFname,borrowerMname,borroweLname,borrowerStreet,borrowerCity,borrowerState,borrowerZip,borrowerDOB,borrowerRace,borrowerEthnicity,borrowerGender,borrowerAnnualIncomeUSD
107,FLORENCE,J,Aselage,1915 JAMBOREE DRIVE SUITE 185,COLORADO SPRINGS,CO,80920,8/5/1994,White,European American,Male,13991
108,TRACY,NULL,Benisek,3620 SOUTH ARROWHEAD AVENUE,INDEPENDENCE,MO,64057,4/28/1991,White,European American,Female,38084
109,EDNA,NULL,Baranoski,1500 WEST HIGHWAY 36,ROSEVILLE,MN,55113,5/30/1994,Black,European American,Male,86603
110,TIFFANY,NULL,Berardino,5801 SOUTH CORPORATE PLACE,SIOUX FALLS,SD,57108,2/7/1976,White,European American,Male,44333
111,CARMEN,NULL,Benites,4800 AIRPORT CENTER PARKWAY,CHARLOTTE,NC,28208,6/18/1998,White,European American,Female,30244
112,ROSA,NULL,Armes,7802 AIRPORT CENTER DRIVE,GREENSBORO,NC,27409,1/26/1989,White,European American,Male,80395
113,CINDY,NULL,Archiopoli,1001 OMNI BOULEVARD,NEWPORT NEWS,VA,23606,6/2/1976,White,European American,Male,46447
114,GRACE,NULL,Aurelia,3501 UNIVERSITY BOULEVARD EAST,COLLEGE PARK,MD,20832,11/16/1982,White,European American,Female,35337
115,WENDY,NULL,Ashlin,3501 UNIVERSITY BOULEVARD,ADLEPHI,MD,31207,7/21/1986,White,European American,Male,56255
116,VICTORIA,NULL,Bains,3800 VARTAN WAY/P.O. BOX 69381,HARRISBURG,PA,17106,4/1/1983,White,European American,Male,87083
117,EDITH,NULL,Abeyta,SABEL BUSINESS CENTER,TAMPA,FL,33619,8/1/1975,White,European American,Female,83225
118,KIM,NULL,Amodt,7205 SHADELAND STATION,INDIANAPOLIS,IN,46256,10/18/1998,White,European American,Male,27139
119,SHERRY,NULL,Alberto,3010 MARKET ST,PHILADELPHIA,PA,19104,8/16/2001,Black,European American,Male,84336
120,SYLVIA,NULL,Atala,300 EAST LOOP 820,FT. WORTH,TX,76112,10/24/1977,White,European American,Female,10430
121,JOSEPHINE,NULL,Banerjee,10907 EUCLID AVE,CLEVELAND,OH,44106,11/14/1976,White,European American,Male,52745
122,THELMA,NULL,Arcuri,10908 EUCLID AVE,CLEVELAND,OH,44106,11/29/1985,White,European American,Male,83517
123,SHANNON,NULL,Bekele,5202 TIMBER COMMONS DRIVE,SANDUSKY,OH,44870,11/3/1983,Hispanic,European American,Male,23396
124,SHEILA,NULL,Bageant,504 MCCARTY LANE,JACKSON,OH,45640,11/6/1977,White,European American,Male,21666
125,ETHEL,NULL,Belling,1522 SHERIDAN DR.,LANCASTER,OH,43130,2/12/1979,White,European American,Male,75363
126,ELLEN,NULL,Akerley,628 ARCH STREET SUITE B-105,MEADVILLE,PA,16335,12/9/2000,White,European American,Female,27460
127,ELAINE,NULL,Berens,4131 NORTH CORRINGTON AVENUE,KANSAS CITY,MO,64117,4/21/1999,White,European American,Female,45512
128,MARJORIE,NULL,Bealer,809 ILLINOIS AVENUE,JOPLIN,MO,64801,11/9/1980,White,European American,Male,65207
129,CARRIE,NULL,Ancheta,3850 SOUTH CAMPBELL,SPRINGFIELD,MO,65807,11/26/1983,White,European American,Male,78023
130,CHARLOTTE,NULL,Ackiss,1245 EAST BUCKEYE ROAD,PHOENIX,AZ,85034,7/17/1995,White,European American,Male,26866
131,MONICA,NULL,Ayres,RT 119N & MT BRADDOCK RD BX278,MOUNT BRADDOCK,PA,15456,8/6/1980,Hispanic,European American,Male,54326
132,ESTHER,NULL,Ambrogi,11 SPIRAL DRIVE  SUITE 8,FLORENCE,KY,41042,1/6/1986,White,European American,Male,16005
133,PAULINE,L,Bartholemew,6200 HILLCROFT AVENUE SUITE 200,HOUSTON,TX,77081,6/14/1996,White,European American,Male,20665
134,EMMA,NULL,Aeschliman,14542 CHOATE CIRCLE,CHARLOTTE,NC,28273,9/13/1983,White,European American,Male,25335
135,JUANITA,NULL,Benzee,25 SYLVAN ROAD SOUTH,WESTPORT,CT,6880,8/2/1991,White,European American,Female,18403
136,ANITA,NULL,Allday,11080 WHITE ROCK ROAD,RANCHO CORDOVA,CA,95670,2/21/1996,Black,European American,Male,75502
137,RHONDA,NULL,Baisley,1200 EAST ALTAMONTE DR UNIT 1010,ALTAMONTE SPRINGS,FL,32701,11/9/1981,Hispanic,European American,Female,25915
138,HAZEL,NULL,Akim,70 MCKEE DRIVE,MAHWAH,NJ,7430,7/30/1975,White,European American,Female,13656
139,AMBER,NULL,Athey,2800 SPRINGPORT ROAD,JACKSON,MI,49202,4/2/1987,White,European American,Male,32924
140,EVA,NULL,Beckom,3501 TERRACE STREET,PITTSBURGH,PA,15261,10/4/1985,White,European American,Male,40623
141,DEBBIE,NULL,Alonza,40 JOURNAL SQUARE,JERSEY CITY,NJ,7306,8/7/1981,White,European American,Female,74113
142,APRIL,NULL,Alamia,2710 NONCONNAH BOULEVARD,MEMPHIS,TN,38132,6/18/1992,White,European American,Male,24020
143,LESLIE,NULL,Arcia,565 W ADAMS STREET,CHICAGO,IL,60661,10/17/1997,White,European American,Male,22462
144,CLARA,NULL,Alleman,3901 WEST 59TH STREET,SIOUX FALLS,SD,57108,1/21/1988,White,European American,Male,12694
145,LUCILLE,NULL,Ahrenholz,8150 BROOKVILLE ROAD,INDIANAPOLIS,IN,46239,8/29/1997,White,European American,Male,77596
146,JAMIE,NULL,Agrios,4601 THEATRE DRIVE,EVANSVILLE,IN,47715,11/16/1999,White,European American,Male,26778
147,JOANNE,NULL,Banks,2108 COBB PARKWAY,SMYRNA,GA,30080,11/9/1989,White,European American,Male,68648
148,ELEANOR,NULL,Aloe,128 S. 5TH STREET,ROCKFORD,IL,61104,8/10/1979,White,European American,Male,63661
149,VALERIE,NULL,Amero,4520 SOUTH UNIVERSITY,LITTLE ROCK,AR,72204,2/24/1989,White,European American,Male,18500
150,DANIELLE,NULL,Abeita,TWO URBAN CENTRE SUITE 145,TAMPA,FL,33609,2/20/1990,Hispanic,European American,Male,75762
151,MEGAN,NULL,Baugh,831 FIRST STREET,WASHINGTON,DC,20202,9/3/1980,White,European American,Male,88720
152,ALICIA,NULL,Baloy,1020 LOCUST STREET,PHILADELPHIA,PA,19107,1/28/1992,White,European American,Female,28109
153,SUZANNE,NULL,Barbo,2031 NORTH ARIZONA AVENUE,CHANDLER,AZ,85225,4/4/1984,White,European American,Male,67219
154,MICHELE,NULL,Behrle,G-1050 W BRISTOL RD,FLINT,MI,48507,6/8/1982,Black,European American,Male,66079
155,GAIL,NULL,Avants,12970 MAURER INDUSTRIAL DRIVE,SUNSET HILLS,MO,63127,8/27/1977,White,European American,Male,74078
156,BERTHA,NULL,Barscewski,1414 NORTH JACKSON ROAD,PHARR,TX,78577,3/20/1993,White,European American,Male,23334
157,DARLENE,NULL,Arrowood,2422 AIRLINE ROAD,CORPUS CHRISTI,TX,78414,6/1/1991,White,European American,Male,89179
158,VERONICA,NULL,Alyea,238 SOUTHWEST MILITARY DRIVE,SAN ANTONIO,TX,78221,3/23/1977,Black,European American,Male,54267
159,JILL,NULL,Beghtol,5353 PARKSIDE DRIVE,JUPITER,FL,33458,8/18/1997,White,European American,Male,78280
160,ERIN,NULL,Banderas,2925 SOUTH COLLEGE AVENUE,FORT COLLINS,CO,80525,2/25/1979,White,European American,Female,15667
161,GERALDINE,NULL,Ariel,11865 SOUTHWEST 26 STREET,MIAMI,FL,33175,8/13/1980,White,European American,Male,45454
162,LAUREN,NULL,Barretto,4206 WEST 12 AVENUE,HIALEAH,FL,33012,4/27/1992,White,European American,Female,33194
163,CATHY,NULL,Adan,651 US ROUTE 1,NORTH BRUNSWICK,NJ,8902,10/31/1990,Hispanic,European American,Male,33432
164,JOANN,NULL,Apland,505 EAST ST STE 107,PITTSFIELD,MA,1201,12/22/1995,White,European American,Male,80394
165,LORRAINE,NULL,Baillie,5775 DTC BOULEVARD,GREENWOOD VILLAGE,CO,80111,11/2/1983,Black,European American,Female,70421
166,LYNN,NULL,Barlett,4314 OLD WILLIAM PENN HIGHWAY,MONROEVILLE,PA,15146,7/28/1992,White,European American,Male,87265
167,SALLY,NULL,Aspell,1675 SOUTH ROCK ROAD,WICHITA,KS,67207,4/2/1986,Hispanic,European American,Male,38590
168,REGINA,C,Adu,4629 NW 23RD ST,OKLAHOMA CITY,OK,73127,10/7/1997,White,European American,Male,63497
169,ERICA,NULL,Bergenstock,135 S STATE ST  SUITE 12,LINDON,UT,84042,9/8/1978,White,European American,Male,56608
170,BEATRICE,NULL,Albers,P O BOX 30001  MSC 3DA,LAS CRUCES,NM,88003,11/7/1985,Hispanic,European American,Male,11918
171,DOLORES,NULL,Beddard,168 GIBSON ROAD,HENDERSON,NV,89014,9/11/1988,White,European American,Male,14993
172,BERNICE,NULL,Berge,3268 WACCAMAW BOULEVARD,MYRTLE BEACH,SC,29579,1/30/2001,Hispanic,European American,Male,16986
173,AUDREY,NULL,Acimovic,606 S COLLEGE ROAD,WILMINGTON,NC,28403,4/28/2000,White,European American,Male,60166
174,YVONNE,NULL,Angellotti,4343 SOUTH 118TH EAST AVENUE,TULSA,OK,74146,1/5/1977,White,European American,Female,11827
175,ANNETTE,NULL,Aderman,CAROLINA INDUSTRIAL PARK,CAROLINA,PR,986,2/15/1992,White,European American,Male,23671
176,JUNE,NULL,Beadles,10324 MASTIN,OVERLAND PARK,KS,66212,3/29/1998,Hispanic,European American,Male,50676
177,SAMANTHA,NULL,Bazel,19555 NORTH 59TH AVENUE,GLENDALE,AZ,85308,8/6/1984,White,European American,Female,79844
178,MARION,NULL,Barillo,10551 COURSEY BOULEVARD,BATON ROUGE,LA,70816,1/18/1989,White,European American,Male,12657
179,DANA,NULL,Ambers,1600 TERRELL MILL ROAD,MARIETTA,GA,30067,3/2/1993,Hispanic,European American,Female,69842
180,STACY,NULL,Baity,915 BROADWAY,NEW YORK,NY,10010,1/7/1983,White,European American,Female,24658
181,ANA,NULL,Beagan,308 WEST ROUTE 38,MOORESTOWN,NJ,8057,1/20/1989,White,European American,Male,55648
182,RENEE,NULL,Affeld,240 BERGEN TOWN CENTER,PARAMUS,NJ,7652,9/26/1995,White,European American,Male,10471
183,IDA,NULL,Bahn,3700 INLAND EMPIRE BLVD STE400,ONTARIO,CA,91764,9/24/1977,White,European American,Male,87768
184,VIVIAN,NULL,Abdon,7801 METRO PARKWAY SUITE 200,BLOOMINGTON,MN,55425,5/9/1991,White,European American,Male,65819
185,ROBERTA,NULL,Baczewski,7009 NORDIC DRIVE,CEDAR FALLS,IA,50613,1/9/1977,White,European American,Male,89377
186,HOLLY,NULL,Aharon,13 AIRLINE DRIVE,ALBANY,NY,12205,1/11/1976,White,European American,Male,79916
187,BRITTANY,NULL,Aalund,4655  121 STREET,URBANDALE,IA,50323,5/15/1998,White,European American,Male,13001
188,MELANIE,NULL,Arambula,PLAZA WEST,MASON CITY,IA,50401,5/2/1997,White,European American,Male,52380
189,LORETTA,NULL,Adachi,2381 E. WINDMILL LN  SUITE 14,LAS VEGAS,NV,89123,8/11/1977,White,European American,Male,84207
190,YOLANDA,NULL,Alden,6413 N. CLINTON STREET,FORT WAYNE,IN,46825,12/18/1979,White,European American,Male,26078
191,JEANETTE,NULL,Atterbury,2127 GRAND BOULEVARD,HOLIDAY,FL,34690,3/8/1991,White,European American,Male,52766
192,LAURIE,NULL,Bella,2112 MAYFIELD PARKWAY,CLEBURNE,TX,76031,4/21/1981,White,European American,Male,75056
193,KATIE,NULL,Andert,ROAD #2 KM. 15.9 BO. HATO TEJAS,BAYAMON,PR,959,9/17/1975,Hispanic,European American,Male,63059
194,KRISTEN,NULL,Abascal,8853 E. 37TH STREET NORTH,WICHITA,KS,67226,4/18/1980,White,European American,Female,46171
195,VANESSA,NULL,Berdy,1564 SOUTHLAKE PARKWAY,MORROW,GA,30260,8/8/1976,White,European American,Male,28757
196,ALMA,NULL,Bendzus,2021 DRAKE AVENUE SW,HUNTSVILLE,AL,35801,9/10/1976,Hispanic,European American,Male,37248
197,SUE,NULL,Barbera,4795 I-55 NORTH,JACKSON,MS,39206,2/12/1998,White,European American,Male,27550
198,ELSIE,NULL,Alquesta,1078 CITIZENS PARKWAY SUITE A,MORROW,GA,30260,4/30/1998,White,European American,Male,72193
199,BETH,NULL,Bartuska,2655 DIVIDEND DRIVE,MEMPHIS,TN,38132,6/5/1993,White,European American,Female,41480
200,JEANNE,NULL,Batey,1409 W. SOUTHERN AVE STE 6,TEMPE,AZ,85282,1/29/1982,White,European American,Male,28201
201,VICKI,G,Austino,2323 BROWNS BRIDGE ROAD,GAINESVILLE,GA,30501,1/9/1980,White,European American,Male,38432
202,CARLA,NULL,Bahe,2200 N. GRAND AVE,SANTA ANA,CA,92705,12/7/2001,White,European American,Male,49760
203,TARA,NULL,Backlund,8085 RIVERS AVENUE,N. CHARLESTON,SC,29406,5/8/1980,White,European American,Male,70176
204,ROSEMARY,NULL,Babe,PARKDALE MALL,BEAUMONT,TX,77706,4/11/1982,Hispanic,European American,Male,43879
205,EILEEN,NULL,Adside,65 E. WACKER PLACE,CHICAGO,IL,60601,3/22/1975,White,European American,Female,27655
206,TERRI,NULL,Amorin,1310 WADSWORTH BOULEVARD,LAKEWOOD,CO,80214,1/7/1995,White,European American,Male,34468
207,GERTRUDE,NULL,Alalem,6441 EAST COLONIAL DRIVE,ORLANDO,FL,32807,11/27/1984,White,European American,Male,11269
208,LUCY,NULL,Backstrom,627 S.W. 27TH AVENUE,MIAMI,FL,33135,8/27/1985,White,European American,Male,43894
209,TONYA,NULL,Balentine,176 THOMPSON DRIVE,BRIDGEPORT,WV,26330,3/22/1989,White,European American,Male,54182
210,ELLA,NULL,Behlmer,STONEMILL CENTER SUITE 130,VANCOUVER,WA,98684,4/19/1976,White,European American,Male,61099
211,STACEY,NULL,Aspegren,3138 S. GARNETT,TULSA,OK,74146,2/19/1989,Hispanic,European American,Male,73132
212,WILMA,NULL,Angelle,#150 URB INDUSTRIAL MINILLAS,BAYAMON,PR,959,6/21/1997,White,European American,Male,34432
